Wavelength,Clean Snow,2022-5-16-BB-DBC,2022-6-BB-DBC,2022-7-BB-DBC,2022-7-15-MUIR-A-DBC,2022-8-5-SHOLES-1-DBC,2022-8-6-RAINBOW-1-DBC,2022-8-11-EASTON-1-DBC,2022-8-15-MUIR-1-DBC,2022-9-15-PR-SNOW,2022-9-15-SHOLES-1-DBC,2022-9-25-SHOLES-1-DBC,2022-10-14-SHOLES-1-DBC
1635,0.004876835,0.0036145,0.003277338,0.003850362,0.003287498,0.004002723,0.004036622,0.004214073,0.00412475,0.006090103,0.006191266,0.006908458,0.008938265
1645,0.004990064,0.00370016,0.00335553,0.003941086,0.003366,0.004096887,0.004131523,0.004312858,0.004221587,0.00622983,0.006333216,0.007066016,0.009139778
1655,0.005134308,0.003809383,0.003455273,0.004056754,0.003466128,0.004216915,0.004252488,0.004438759,0.004345012,0.006407744,0.00651395,0.007266583,0.009396169
1665,0.005319818,0.003950013,0.003583759,0.004205657,0.003595097,0.004371395,0.004408169,0.004600766,0.004503845,0.006636416,0.006746234,0.007524291,0.009725393
1675,0.005534522,0.004112989,0.003732738,0.004378177,0.003744628,0.004550339,0.004588497,0.004788387,0.004687807,0.006900877,0.007014858,0.007822225,0.010105711
1685,0.005760612,0.004284849,0.003889919,0.004560047,0.003902387,0.004738943,0.004778553,0.00498609,0.004881672,0.007179141,0.007297485,0.00813559,0.010505386
1695,0.005993415,0.004462062,0.004052082,0.004747525,0.004065143,0.004933324,0.004974424,0.0051898,0.005081449,0.007465432,0.007588248,0.008457876,0.010916074
1705,0.0062435,0.004652714,0.004226639,0.004949155,0.004240331,0.005142336,0.005185028,0.005408788,0.00529623,0.007772711,0.007900307,0.008803661,0.011356289
1715,0.006508746,0.004855237,0.004412172,0.00516327,0.004426529,0.00536424,0.005408614,0.005641224,0.005524224,0.008098324,0.008230963,0.009169948,0.011822122
1725,0.006807097,0.005083416,0.004621337,0.005404424,0.004636437,0.005614108,0.005660363,0.005902876,0.005780907,0.008464219,0.008602499,0.009581415,0.012344801
1735,0.007074828,0.005288501,0.00480944,0.00562109,0.004825207,0.00583856,0.005886494,0.006137849,0.006011443,0.008792244,0.008935558,0.009950212,0.012812694
1745,0.007296317,0.005458386,0.004965329,0.00580051,0.004981651,0.0060244,0.006073718,0.006332355,0.006202296,0.009063388,0.00921085,0.01025504,0.013198975
1755,0.007533395,0.00564045,0.005132471,0.00599274,0.005149384,0.006223473,0.006274266,0.006540669,0.006406713,0.009353386,0.009505268,0.010581103,0.013611637
1765,0.007748465,0.005805793,0.005284325,0.006167269,0.005301775,0.00640419,0.006456315,0.006729734,0.006592258,0.009616258,0.009772134,0.010876788,0.013985288
1775,0.007935144,0.005949437,0.005416294,0.006318854,0.005434213,0.006561134,0.006614412,0.006893902,0.00675338,0.009844265,0.010003596,0.011133469,0.014309077
1785,0.008130838,0.006100139,0.005554798,0.006477854,0.005573207,0.00672573,0.006780212,0.007066044,0.006922342,0.010083091,0.010246031,0.011402743,0.01464791
1795,0.008338295,0.006260002,0.005701782,0.006646483,0.005720706,0.006900268,0.006956022,0.007248551,0.007101488,0.010336005,0.010502754,0.011688889,0.015006373
1805,0.00858373,0.006449115,0.005875738,0.006845918,0.005895263,0.007106651,0.007163902,0.007464313,0.007313297,0.010634621,0.010805852,0.012030467,0.015429141
1815,0.008879715,0.006674433,0.006083106,0.007083469,0.006103339,0.007352428,0.007411452,0.007721198,0.007565498,0.010989622,0.01116616,0.012484311,0.015931087
1825,0.009182308,0.006915778,0.006305344,0.007337834,0.00632633,0.007615545,0.007676457,0.007996139,0.007835453,0.01136896,0.011551143,0.012800977,0.016466677
1835,0.009336024,0.007034062,0.00641428,0.007462464,0.006435648,0.007744467,0.007806301,0.008130836,0.007967717,0.011554648,0.011739593,0.01302229,0.016728642
1845,0.00923064,0.006952707,0.006339263,0.007376725,0.006360417,0.007655854,0.007717056,0.008038279,0.007876824,0.011427282,0.011610351,0.012872302,0.01654919
1855,0.008892896,0.006683566,0.006091318,0.007093038,0.006111693,0.0073625,0.0074216,0.007731775,0.007575868,0.011004667,0.011181467,0.01251344,0.015952776
1865,0.007952022,0.005961889,0.005427333,0.00633183,0.00544555,0.006574946,0.006628326,0.006908437,0.006767625,0.009865235,0.010024963,0.011157348,0.014339595
1875,0.006548212,0.004884728,0.004438577,0.005194072,0.004453491,0.005396801,0.005441412,0.005675424,0.005557758,0.008147106,0.008280624,0.009225098,0.011892649
