date,latitude (N),longitude (E),total_aot,smoke_aot
2023-09-07,48.5,-121.5,0.018537499,0.00518
2023-09-08,48.5,-121.5,0.04331,0.015009999
2023-09-09,48.5,-121.5,0.05649,0.023077501
2023-09-10,48.5,-121.5,0.0625675,0.0350625
2023-09-11,48.5,-121.5,0.047465,0.018435
2023-09-12,48.5,-121.5,0.0794725,0.042007502
2023-09-13,48.5,-121.5,0.0718825,0.0336725
2023-09-14,48.5,-121.5,0.071512505,0.037189998
2023-09-15,48.5,-121.5,0.044127498,0.029525
2023-09-16,48.5,-121.5,0.08219,0.0495525
2023-09-17,48.5,-121.5,0.133975,0.067065
2023-09-18,48.5,-121.5,0.085637495,0.031055
2023-09-19,48.5,-121.5,0.0950475,0.02516
2023-09-20,48.5,-121.5,0.171565,0.0721725
2023-09-21,48.5,-121.5,0.12488,0.093032494
2023-09-22,48.5,-121.5,0.105244994,0.0549675
2023-09-23,48.5,-121.5,0.104785,0.0494775
2023-09-24,48.5,-121.5,0.052692503,0.015325001
2023-09-25,48.5,-121.5,0.073265,0.0378475
2023-09-26,48.5,-121.5,0.0706725,0.010697501
2023-09-27,48.5,-121.5,0.07356,0.004245
2023-09-28,48.5,-121.5,0.068675,0.0059325
2023-09-29,48.5,-121.5,0.0801325,0.021189999
2023-09-30,48.5,-121.5,0.07001,0.0188575
2023-10-01,48.5,-121.5,0.054435,0.014424999
2023-10-02,48.5,-121.5,0.0319025,0.0059675
2023-10-03,48.5,-121.5,0.03221,0.002435
2023-10-04,48.5,-121.5,0.0463775,0.0061425
2023-10-05,48.5,-121.5,0.035315,0.00809
2023-10-06,48.5,-121.5,0.017250001,0.007875
2023-10-07,48.5,-121.5,0.022279998,0.0137075
2023-10-08,48.5,-121.5,0.039690003,0.0225875
2023-10-09,48.5,-121.5,0.05343,0.0316625
2023-10-10,48.5,-121.5,0.0769625,0.022875
2023-10-11,48.5,-121.5,0.05463,0.00922
2023-10-12,48.5,-121.5,0.02678,0.0053875
2023-10-13,48.5,-121.5,0.03252,0.019552499
2023-10-14,48.5,-121.5,0.078805,0.039845
2023-10-15,48.5,-121.5,0.053237498,0.022642499
2023-10-16,48.5,-121.5,0.0389825,0.010190001
2023-10-17,48.5,-121.5,0.048182502,0.005015
2023-10-18,48.5,-121.5,0.039915,0.006312501
2023-10-19,48.5,-121.5,0.029852498,0.0146875
2023-10-20,48.5,-121.5,0.014405,0.0080825
2023-10-21,48.5,-121.5,0.012442499,0.00825
2023-10-22,48.5,-121.5,0.0398725,0.01503
2023-10-23,48.5,-121.5,0.053505003,0.0240525
2023-10-24,48.5,-121.5,0.107402496,0.05777
2023-10-25,48.5,-121.5,0.0458375,0.0212925
2023-10-26,48.5,-121.5,0.06357,0.049955
2023-10-27,48.5,-121.5,0.060019996,0.052527502
2023-10-28,48.5,-121.5,0.035685,0.029867498
2023-10-29,48.5,-121.5,0.026417498,0.021284997
2023-10-30,48.5,-121.5,0.0538775,0.0344125
2023-10-31,48.5,-121.5,0.03287,0.024305
